NCR ID,Entity Name,Regional Compliance Enforcement Authority,BA,DP,GO Category 1,GO Category 2,GOP Category 1,GOP Category 2,PCPA,RC,RP,RSG,TO,TOP,TP,TSP,DPUF,FRSG,RRSG
NCR04012,"Bastrop Energy Partners, LP",Texas RE,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR12170,BayWa r.e. Operation Services LLC,Texas RE,,,,,GOP-1,,,,,,,,,,,,
NCR11814,"Bearkat Wind Energy I, LLC",Texas RE,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR12502,Ben Milam Solar 1 LLC,Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR12510,Ben Milam Solar 2 LLC,Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR12503,Ben Milam Solar 3 LLC,Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR13463,Bexar ESS LLC,Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR12018,"BHER Market Operations, LLC",Texas RE,,,,,GOP-1,,,,,,,,,,,,
NCR04112,"BHER Power Resources, Inc.",Texas RE,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR11809,"Big Country Electric Cooperative, Inc",Texas RE,,,,,,,,,,,,,,,DP-UFLS,,
NCR13042,"Big Elm Solar, LLC",Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR13287,Black Springs BESS LLC,Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR13269,Blevins Solar and Storage,Texas RE,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR04013,"Bluebonnet Electric Co Op, Inc.",Texas RE,,DP,,,,,,,,,TO,,TP,,,,
NCR11320,"Bobcat Bluff Wind Project, LLC",Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR13110,"Bocanova Power, LLC",Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR12483,Borden County Battery Energy Storage LLC,Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR12430,"BPL Crown Solar, LLC",Texas RE,,,GO-1,,,,,,,,,,,,,,
